household_id,division_id,my_needs_segment,persona,facts_seg,ecom_ind,rewards_engaged,email_flag,push_flag,sms_flag,pre_weekly_net_sales,channel_mix
1000075,2,One_Stop_Low_Price,Value,Loyal,1,0,1,1,0,112.83,4.Email+Push
1000076,2,Healthy_Foodies,Family,Loyal,1,1,1,1,0,47.19,4.Email+Push
1000077,4,Chasing_Price,Value,Lapsing,0,1,1,0,0,30.37,1.Email-only
1000078,4,Healthy_Foodies,Convenience,Lapsing,0,1,0,1,0,143.02,2.Push-only
1000079,5,Easy_Eating,Value,Occasional,0,1,1,1,0,16.47,4.Email+Push
1000080,4,Easy_Shopping,Convenience,Loyal,1,1,1,0,1,17.45,5.Email+SMS
1000081,3,Easy_Shopping,Value,New,0,1,1,1,0,12.03,4.Email+Push
1000082,6,Easy_Eating,Value,New,0,1,0,1,0,17.96,2.Push-only
1000083,1,Healthy_Foodies,Family,Loyal,1,0,1,0,0,10.91,1.Email-only
1000084,1,Chasing_Price,Convenience,Occasional,0,1,1,1,0,93.05,4.Email+Push
1000085,1,Healthy_Foodies,Value,Occasional,0,0,0,1,0,33.49,2.Push-only
1000086,5,One_Stop_Low_Price,Value,Loyal,0,0,1,0,0,18.22,1.Email-only
1000087,3,Chasing_Price,Convenience,Loyal,0,1,1,0,0,51.3,1.Email-only
1000088,1,One_Stop_Low_Price,Family,Lapsing,0,0,1,0,0,26.29,1.Email-only
1000089,3,Easy_Eating,Family,Occasional,1,1,0,1,0,48.76,2.Push-only
1000090,1,Chasing_Price,Value,New,0,1,1,0,0,21.88,1.Email-only
1000091,5,Healthy_Foodies,Convenience,New,0,1,1,0,0,39.07,1.Email-only
1000092,3,One_Stop_Low_Price,Family,Occasional,0,0,1,0,0,30.09,1.Email-only
1000093,3,Chasing_Price,Family,Lapsing,0,1,1,0,1,14.49,5.Email+SMS
1000094,2,Easy_Shopping,Premium,New,0,0,1,0,0,61.4,1.Email-only
1000095,4,Easy_Eating,Wellness,New,0,1,1,0,0,20.82,1.Email-only
1000096,2,Chasing_Price,Family,Occasional,0,1,0,1,0,57.29,2.Push-only
1000097,1,Chasing_Price,Wellness,Loyal,0,1,1,1,0,54.91,4.Email+Push
1000098,1,Healthy_Foodies,Family,New,0,0,1,1,1,34.04,7.Email+Push+SMS
1000099,8,Easy_Shopping,Family,New,0,1,1,1,0,73.5,4.Email+Push
1000101,5,Chasing_Price,Wellness,Occasional,0,1,0,1,0,19.85,2.Push-only
1000102,2,Healthy_Foodies,Value,Occasional,0,1,1,0,0,37.87,1.Email-only
1000103,8,Easy_Shopping,Value,Lapsing,0,1,0,1,0,19.5,2.Push-only
1000104,5,Easy_Eating,Wellness,Occasional,0,0,1,1,0,80.76,4.Email+Push
1000105,5,Chasing_Price,Wellness,Loyal,0,0,1,1,0,119.6,4.Email+Push
1000106,3,One_Stop_Low_Price,Wellness,Occasional,1,0,1,0,1,8.13,5.Email+SMS
1000108,1,Scratch_Foodies,Premium,Loyal,0,1,0,1,0,177.23,2.Push-only
1000109,7,One_Stop_Low_Price,Value,Loyal,0,0,1,0,0,22.54,1.Email-only
1000110,3,Easy_Eating,Convenience,Lapsing,0,1,1,0,1,57.37,5.Email+SMS
1000111,1,Easy_Eating,Convenience,Occasional,0,1,1,1,0,20.14,4.Email+Push
1000112,2,Scratch_Foodies,Convenience,Loyal,1,0,1,0,1,46.86,5.Email+SMS
1000113,4,One_Stop_Low_Price,Convenience,Occasional,0,0,1,0,1,21.57,5.Email+SMS
1000115,6,One_Stop_Low_Price,Wellness,Occasional,0,1,1,1,0,109.54,4.Email+Push
1000116,5,Easy_Eating,Value,Occasional,1,1,1,1,0,30.11,4.Email+Push
1000117,5,Healthy_Foodies,Premium,New,1,0,1,0,1,111.8,5.Email+SMS
1000118,3,One_Stop_Low_Price,Value,Loyal,1,0,1,0,0,32.16,1.Email-only
1000119,4,Healthy_Foodies,Convenience,Loyal,0,0,0,1,0,108.75,2.Push-only
1000120,4,Scratch_Foodies,Value,Occasional,1,1,1,0,0,41.87,1.Email-only
1000121,4,Easy_Eating,Value,Loyal,1,1,1,0,0,4.46,1.Email-only
1000122,1,Healthy_Foodies,Value,Lapsing,1,0,1,1,0,44.57,4.Email+Push
1000123,3,One_Stop_Low_Price,Value,Lapsing,0,1,1,0,0,37.72,1.Email-only
1000124,1,Easy_Eating,Convenience,Occasional,1,1,1,1,0,19.91,4.Email+Push
1000125,3,Easy_Shopping,Premium,Lapsing,1,1,1,0,0,94.6,1.Email-only
1000126,2,One_Stop_Low_Price,Family,New,1,0,1,1,0,50.18,4.Email+Push
1000127,1,Scratch_Foodies,Family,New,0,1,1,1,0,150.51,4.Email+Push
1000128,1,One_Stop_Low_Price,Convenience,Occasional,0,1,1,0,0,24.46,1.Email-only
1000129,4,One_Stop_Low_Price,Value,New,0,1,0,1,0,50.54,2.Push-only
1000130,1,Easy_Eating,Convenience,Loyal,0,1,1,0,0,162.22,1.Email-only
1000131,7,Easy_Shopping,Convenience,Loyal,1,0,1,0,0,20.83,1.Email-only
1000132,4,Chasing_Price,Premium,Loyal,0,1,1,1,0,20.83,4.Email+Push
1000133,2,Easy_Shopping,Convenience,Occasional,0,1,0,1,1,11.37,6.Push+SMS
1000134,4,Easy_Shopping,Value,Lapsing,0,0,1,0,0,33.48,1.Email-only
1000135,1,Easy_Eating,Value,New,1,0,1,1,0,4.11,4.Email+Push
1000136,8,Scratch_Foodies,Family,Occasional,1,1,1,0,0,293.24,1.Email-only
1000137,3,Healthy_Foodies,Wellness,Loyal,0,1,1,0,1,42.09,5.Email+SMS
1000138,5,Easy_Shopping,Family,Lapsing,0,1,1,1,0,452.91,4.Email+Push
1000139,1,Chasing_Price,Value,Loyal,0,1,0,0,1,36.42,3.SMS-only
1000140,3,Healthy_Foodies,Family,Occasional,0,1,1,0,0,149.87,1.Email-only
1000142,7,Chasing_Price,Family,Occasional,1,1,1,1,1,63.57,7.Email+Push+SMS
1000143,4,Scratch_Foodies,Convenience,Occasional,0,0,1,1,0,127.71,4.Email+Push
1000144,3,Scratch_Foodies,Value,Loyal,0,0,1,0,1,63.46,5.Email+SMS
1000146,2,Scratch_Foodies,Family,Lapsing,0,0,1,1,0,23.87,4.Email+Push
1000147,3,One_Stop_Low_Price,Wellness,Loyal,1,1,1,0,0,108.5,1.Email-only
1000151,7,Chasing_Price,Family,Occasional,0,0,1,1,0,20.46,4.Email+Push
1000152,1,Scratch_Foodies,Premium,Loyal,1,1,1,0,1,21.58,5.Email+SMS
1000153,4,Easy_Shopping,Value,Occasional,0,1,0,1,0,13.69,2.Push-only
1000154,1,Chasing_Price,Value,Loyal,0,0,1,0,0,127.92,1.Email-only
1000155,5,Easy_Shopping,Family,Occasional,1,0,1,0,0,87.28,1.Email-only
1000157,4,One_Stop_Low_Price,Wellness,Occasional,1,1,1,0,0,48.55,1.Email-only
1000158,5,Easy_Eating,Wellness,Loyal,0,1,1,0,0,19.11,1.Email-only
1000159,5,Easy_Eating,Wellness,New,1,1,1,1,1,53.3,7.Email+Push+SMS
1000160,1,Easy_Eating,Value,Loyal,1,1,1,1,0,68.8,4.Email+Push
1000161,7,One_Stop_Low_Price,Wellness,Occasional,0,1,1,0,1,33.12,5.Email+SMS
1000162,2,Chasing_Price,Premium,Loyal,0,1,1,0,1,37.38,5.Email+SMS
1000163,1,Chasing_Price,Convenience,Occasional,0,0,1,1,0,113.78,4.Email+Push
1000164,4,Healthy_Foodies,Convenience,Loyal,1,0,1,0,0,39.53,1.Email-only
1000165,2,Easy_Eating,Convenience,Occasional,0,1,1,1,0,49.64,4.Email+Push
1000166,6,Easy_Eating,Convenience,Occasional,0,1,1,0,1,11.63,5.Email+SMS
1000167,6,Easy_Eating,Family,New,1,0,1,0,0,119.2,1.Email-only
1000168,2,Chasing_Price,Convenience,Occasional,0,1,1,0,1,32.21,5.Email+SMS
1000169,7,Easy_Eating,Wellness,Loyal,0,0,1,0,0,7.48,1.Email-only
1000170,2,Healthy_Foodies,Value,Lapsing,0,1,1,0,0,148.47,1.Email-only
1000171,3,Chasing_Price,Wellness,Occasional,0,0,1,1,0,39.94,4.Email+Push
1000172,2,Chasing_Price,Value,Occasional,0,0,1,1,0,18.9,4.Email+Push
1000173,7,One_Stop_Low_Price,Convenience,Loyal,1,1,1,0,0,32.7,1.Email-only
1000174,1,Easy_Eating,Convenience,Occasional,0,1,1,0,1,34.19,5.Email+SMS
1000175,1,Chasing_Price,Convenience,Lapsing,0,1,0,1,0,14.68,2.Push-only
1000177,8,One_Stop_Low_Price,Family,Loyal,1,1,1,1,0,15.84,4.Email+Push
1000178,7,One_Stop_Low_Price,Convenience,New,1,1,0,1,0,143.76,2.Push-only
1000179,5,Easy_Eating,Value,Lapsing,0,0,1,0,1,53.37,5.Email+SMS
1000180,7,Easy_Eating,Family,Loyal,1,0,1,0,0,129.72,1.Email-only
1000181,7,Easy_Eating,Premium,Occasional,0,0,1,0,0,13.12,1.Email-only
1000182,3,Easy_Eating,Family,Lapsing,0,0,1,0,0,20.14,1.Email-only
1000183,2,Easy_Eating,Convenience,Occasional,0,0,1,1,0,14.68,4.Email+Push
1000184,5,Easy_Eating,Family,Occasional,0,0,1,1,0,181.79,4.Email+Push
1000185,4,Easy_Eating,Premium,Loyal,0,0,1,1,1,40.05,7.Email+Push+SMS
1000186,2,Easy_Eating,Convenience,New,0,1,1,0,0,9.84,1.Email-only
1000187,1,Healthy_Foodies,Family,Occasional,1,0,1,0,0,22.81,1.Email-only
1000188,5,Healthy_Foodies,Premium,Lapsing,1,0,1,1,0,97.13,4.Email+Push
1000189,2,Chasing_Price,Convenience,New,0,1,1,1,0,108.8,4.Email+Push
1000190,7,One_Stop_Low_Price,Family,Loyal,0,1,1,0,0,41.77,1.Email-only
1000191,2,Healthy_Foodies,Wellness,Loyal,1,0,1,0,1,197.74,5.Email+SMS
1000192,1,Healthy_Foodies,Premium,Loyal,1,1,1,1,1,74.16,7.Email+Push+SMS
1000193,6,One_Stop_Low_Price,Family,Occasional,0,0,1,0,1,183.1,5.Email+SMS
1000194,1,Healthy_Foodies,Wellness,Occasional,0,1,0,1,0,271.15,2.Push-only
1000195,1,Easy_Eating,Wellness,Loyal,0,0,0,1,0,9.98,2.Push-only
1000196,4,Easy_Shopping,Convenience,Loyal,0,0,1,0,0,86.19,1.Email-only
1000197,6,Healthy_Foodies,Value,New,0,1,1,0,0,93.87,1.Email-only
1000199,2,Scratch_Foodies,Family,Loyal,0,1,1,0,1,51.24,5.Email+SMS
1000200,5,Chasing_Price,Premium,Occasional,0,1,1,0,0,55.34,1.Email-only
1000201,8,Scratch_Foodies,Value,Loyal,0,0,1,0,1,12.43,5.Email+SMS
1000202,3,Healthy_Foodies,Wellness,Loyal,1,1,1,0,1,43.87,5.Email+SMS
1000203,1,Easy_Eating,Wellness,Lapsing,0,1,1,1,0,277.36,4.Email+Push
1000205,2,Healthy_Foodies,Value,Lapsing,0,1,1,0,1,72.82,5.Email+SMS
1000206,1,Easy_Shopping,Convenience,Lapsing,0,1,1,0,0,214.48,1.Email-only
1000207,5,Easy_Shopping,Premium,Loyal,0,1,1,0,0,11.5,1.Email-only
1000208,1,Healthy_Foodies,Wellness,Loyal,0,1,1,0,0,58.4,1.Email-only
1000209,3,One_Stop_Low_Price,Premium,Loyal,1,1,1,0,0,49.6,1.Email-only
1000210,5,Healthy_Foodies,Value,Loyal,0,1,1,0,0,94.68,1.Email-only
1000211,4,One_Stop_Low_Price,Wellness,Occasional,0,1,1,0,0,51.32,1.Email-only
1000212,1,Easy_Eating,Family,Loyal,0,1,1,1,0,14.64,4.Email+Push
1000213,6,Easy_Shopping,Wellness,Loyal,0,1,1,0,0,20.22,1.Email-only
1000214,5,Easy_Shopping,Family,Lapsing,0,1,1,0,0,51.51,1.Email-only
1000215,5,Easy_Shopping,Convenience,Lapsing,0,1,1,0,0,14.51,1.Email-only
1000216,1,Scratch_Foodies,Premium,Occasional,1,1,1,1,0,314.88,4.Email+Push
1000218,7,Easy_Shopping,Wellness,Loyal,0,0,1,0,1,92.4,5.Email+SMS
1000219,3,One_Stop_Low_Price,Family,Loyal,0,1,1,0,0,28.66,1.Email-only
1000220,2,Easy_Eating,Convenience,New,0,1,1,1,0,92.26,4.Email+Push
1000221,3,Chasing_Price,Family,Loyal,1,0,1,0,1,40.09,5.Email+SMS
1000222,4,Easy_Shopping,Value,New,1,1,1,0,0,13.07,1.Email-only
1000223,7,Healthy_Foodies,Value,Occasional,0,0,1,0,0,6.82,1.Email-only
1000224,2,Easy_Eating,Wellness,Loyal,1,1,1,0,0,70.62,1.Email-only
1000225,7,Easy_Eating,Convenience,New,1,1,1,1,1,8.05,7.Email+Push+SMS
1000226,1,Healthy_Foodies,Convenience,Lapsing,0,1,1,1,0,38.46,4.Email+Push
1000227,4,Easy_Shopping,Value,New,0,1,1,0,0,161.16,1.Email-only
1000228,4,Easy_Shopping,Value,New,0,1,1,0,1,34.45,5.Email+SMS
1000229,1,Easy_Eating,Wellness,Occasional,1,0,0,1,0,38.35,2.Push-only
1000230,1,Chasing_Price,Premium,Lapsing,1,0,1,0,0,38.65,1.Email-only
1000231,3,Easy_Eating,Premium,Loyal,0,0,1,1,0,24.57,4.Email+Push
1000232,8,One_Stop_Low_Price,Family,Lapsing,0,1,1,0,0,76.2,1.Email-only
1000233,4,Easy_Shopping,Convenience,Lapsing,0,1,1,0,1,12.34,5.Email+SMS
1000234,7,Easy_Eating,Value,Loyal,1,1,1,0,0,6.93,1.Email-only
1000235,6,Healthy_Foodies,Family,New,1,1,1,1,0,47.01,4.Email+Push
1000236,3,Scratch_Foodies,Family,Occasional,0,1,1,0,0,35.6,1.Email-only
1000237,5,Chasing_Price,Convenience,Occasional,1,1,1,0,0,80.86,1.Email-only
1000238,1,Healthy_Foodies,Convenience,Occasional,0,0,1,1,1,40.59,7.Email+Push+SMS
1000239,1,Easy_Shopping,Convenience,New,1,1,1,1,0,44.54,4.Email+Push
1000240,6,Healthy_Foodies,Wellness,New,1,1,1,0,0,221.81,1.Email-only
1000241,6,One_Stop_Low_Price,Value,New,0,1,1,0,0,36.71,1.Email-only
1000242,2,Scratch_Foodies,Wellness,Lapsing,1,1,1,0,0,27.36,1.Email-only
1000243,3,Easy_Eating,Family,Occasional,0,1,1,1,1,38.66,7.Email+Push+SMS
1000244,4,Easy_Shopping,Wellness,Occasional,0,1,1,0,0,103.67,1.Email-only
1000245,6,Scratch_Foodies,Family,Lapsing,1,0,1,1,1,58.27,7.Email+Push+SMS
1000246,4,Easy_Eating,Convenience,Loyal,1,1,1,0,0,79.02,1.Email-only
1000249,3,Healthy_Foodies,Convenience,Loyal,0,0,1,1,1,163.54,7.Email+Push+SMS
1000250,4,One_Stop_Low_Price,Value,Lapsing,0,1,1,1,1,38.52,7.Email+Push+SMS
1000251,6,Easy_Shopping,Convenience,Loyal,0,0,1,0,0,39.51,1.Email-only
1000252,3,Healthy_Foodies,Wellness,Loyal,0,0,1,0,0,491.6,1.Email-only
1000253,2,Chasing_Price,Value,Lapsing,1,0,1,1,0,32.02,4.Email+Push
1000254,2,Easy_Shopping,Premium,Loyal,0,1,1,1,0,87.18,4.Email+Push
1000255,5,Easy_Shopping,Premium,Loyal,0,1,1,1,0,25.62,4.Email+Push
1000256,6,Easy_Eating,Wellness,Occasional,0,0,1,0,0,49.48,1.Email-only
1000257,1,Easy_Shopping,Family,Lapsing,0,0,1,0,0,71.74,1.Email-only
1000258,1,Scratch_Foodies,Family,Occasional,0,0,1,0,0,39.81,1.Email-only
1000259,4,Scratch_Foodies,Value,Loyal,1,0,1,0,0,23.43,1.Email-only
1000260,1,Healthy_Foodies,Value,Loyal,1,0,1,1,0,39.15,4.Email+Push
1000261,6,One_Stop_Low_Price,Value,Occasional,0,1,1,0,1,3.37,5.Email+SMS
1000262,2,Easy_Eating,Value,Loyal,0,1,1,0,0,72.27,1.Email-only
1000263,1,Scratch_Foodies,Wellness,Loyal,0,0,1,0,0,60.26,1.Email-only
1000265,1,One_Stop_Low_Price,Premium,Loyal,1,1,1,0,0,92.32,1.Email-only
1000266,2,Scratch_Foodies,Convenience,New,1,1,1,0,0,94.74,1.Email-only
1000267,1,One_Stop_Low_Price,Wellness,Occasional,1,1,0,1,0,81.95,2.Push-only
1000268,1,Healthy_Foodies,Wellness,Loyal,0,0,1,0,0,19.15,1.Email-only
1000269,1,Scratch_Foodies,Premium,Loyal,1,0,0,1,0,115.52,2.Push-only
1000271,1,Chasing_Price,Family,New,0,1,1,0,0,88.64,1.Email-only
1000272,1,One_Stop_Low_Price,Convenience,Loyal,0,0,0,0,1,40.63,3.SMS-only
1000273,4,Easy_Shopping,Wellness,Lapsing,0,1,1,1,1,35.5,7.Email+Push+SMS
1000274,5,Easy_Shopping,Value,Loyal,0,1,1,0,0,21.25,1.Email-only
1000275,3,Easy_Eating,Convenience,Loyal,0,0,1,1,0,15.23,4.Email+Push
1000276,2,Chasing_Price,Wellness,Occasional,0,0,1,0,0,8.63,1.Email-only
1000277,3,Easy_Eating,Convenience,New,0,1,1,0,0,19.02,1.Email-only
1000278,7,Easy_Eating,Premium,New,0,0,1,1,0,83.5,4.Email+Push
1000279,6,One_Stop_Low_Price,Wellness,Occasional,0,0,1,1,0,33.26,4.Email+Push
1000280,1,Easy_Shopping,Wellness,New,1,1,1,0,0,73.9,1.Email-only
1000281,1,Easy_Eating,Wellness,Occasional,1,1,1,1,0,90.83,4.Email+Push
1000282,2,Chasing_Price,Wellness,Occasional,1,0,1,0,0,68.42,1.Email-only
1000283,2,Healthy_Foodies,Value,Lapsing,0,1,1,1,0,193.42,4.Email+Push
1000284,4,Easy_Eating,Wellness,Lapsing,0,0,1,1,0,45.4,4.Email+Push
1000285,3,Scratch_Foodies,Convenience,New,1,0,1,0,0,185.77,1.Email-only
1000286,1,Easy_Eating,Convenience,New,0,1,1,0,0,19.34,1.Email-only
1000288,3,Easy_Eating,Family,Loyal,0,1,1,0,0,31.84,1.Email-only
1000289,1,Easy_Shopping,Convenience,Loyal,0,1,1,0,0,102.45,1.Email-only
1000290,6,Easy_Eating,Convenience,Occasional,0,1,1,0,0,60.29,1.Email-only
1000291,1,Healthy_Foodies,Value,New,0,0,1,1,0,59.43,4.Email+Push
1000292,7,One_Stop_Low_Price,Value,Occasional,1,1,1,1,0,44.31,4.Email+Push
1000293,1,Chasing_Price,Convenience,Loyal,0,0,1,1,0,17.31,4.Email+Push
1000294,6,Easy_Eating,Convenience,Occasional,0,1,1,1,1,21.71,7.Email+Push+SMS
1000296,8,Chasing_Price,Convenience,New,0,0,1,1,1,44.31,7.Email+Push+SMS
1000297,6,Scratch_Foodies,Value,New,0,0,1,0,0,21.68,1.Email-only
1000298,5,Easy_Eating,Value,Occasional,1,0,1,0,1,56.7,5.Email+SMS
1000299,4,Easy_Eating,Family,Loyal,0,1,0,1,0,37.3,2.Push-only
1000300,5,Easy_Eating,Value,New,0,1,1,0,0,14.72,1.Email-only
1000301,1,Chasing_Price,Value,Lapsing,0,1,0,1,0,159.56,2.Push-only
1000302,3,Healthy_Foodies,Value,Loyal,0,1,1,0,0,50.71,1.Email-only
1000303,3,Healthy_Foodies,Convenience,New,0,0,1,1,0,25.88,4.Email+Push
1000304,6,Healthy_Foodies,Convenience,New,0,1,0,1,0,46.21,2.Push-only
1000305,3,Chasing_Price,Wellness,Lapsing,0,1,1,0,0,49.71,1.Email-only
1000307,4,Easy_Eating,Wellness,Lapsing,0,1,1,1,0,272.31,4.Email+Push
1000308,2,Chasing_Price,Premium,Loyal,0,1,1,1,0,102.56,4.Email+Push
1000309,1,Scratch_Foodies,Value,Occasional,0,0,1,1,1,79.33,7.Email+Push+SMS
1000310,3,One_Stop_Low_Price,Wellness,New,1,1,1,1,0,35.96,4.Email+Push
1000311,3,Easy_Eating,Convenience,New,1,0,1,0,0,127.25,1.Email-only
1000312,2,Healthy_Foodies,Wellness,Occasional,0,1,1,1,0,13.86,4.Email+Push
1000313,2,Easy_Eating,Value,Occasional,1,1,0,1,0,6.23,2.Push-only
1000314,2,Chasing_Price,Family,Lapsing,0,0,1,0,0,55.1,1.Email-only
1000315,2,Healthy_Foodies,Family,Occasional,0,0,1,1,0,390.17,4.Email+Push
1000316,3,One_Stop_Low_Price,Value,Lapsing,0,0,1,1,1,44.41,7.Email+Push+SMS
1000317,5,One_Stop_Low_Price,Convenience,New,1,1,1,0,0,107.55,1.Email-only
1000318,2,Healthy_Foodies,Family,Lapsing,0,1,1,0,0,291.42,1.Email-only
1000319,7,Healthy_Foodies,Family,Occasional,0,1,1,0,0,53.65,1.Email-only
1000320,7,Chasing_Price,Convenience,Occasional,1,1,1,0,0,72.46,1.Email-only
1000321,3,Easy_Shopping,Family,New,0,0,1,0,0,258.06,1.Email-only
1000322,2,Scratch_Foodies,Value,Loyal,1,0,1,0,0,27.92,1.Email-only
1000323,3,Easy_Eating,Family,Lapsing,0,1,1,1,0,57.21,4.Email+Push
